"","interaction_ID","N10.A_Healthy","N11.B_Healthy","N15.A_Healthy","N16.A_Healthy","N17.A_Healthy","N18.A_Healthy","N20.A_Healthy","N21.A_Healthy","N51.A_Healthy","N46.A_Healthy","N9.B_Inflamed","N12.B_Inflamed","N14.B_Inflamed","N19.B_Inflamed","N24.B_Inflamed","N52.B1a_Inflamed","N111.B1_Inflamed","N44.B_Inflamed","N49.B_Inflamed","N50.B_Inflamed","N106.B_Inflamed","N539.B_Inflamed"
"9362","Plasma:IL16_Fibroblasts:CD4",NA,NA,NA,NA,NA,NA,NA,1.3180225646198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9363","Plasma:MIF_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.383573676385287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9364","Plasma:TFF3_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.220377290693909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9365","Plasma:TFF3_Fibroblasts:CXCR4",NA,NA,NA,NA,NA,NA,NA,0.117839645965894,NA,NA,NA,NA,0.117839645965894,0.117839645965894,NA,NA,NA,NA,NA,NA,0.117839645965894,NA
"9366","B-cells:CD74_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9367","B-cells:HLA-G_Fibroblasts:CD4",NA,NA,NA,NA,NA,NA,NA,0.352236938084701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9368","B-cells:IL16_Fibroblasts:CD4",NA,NA,NA,NA,NA,NA,NA,1.3180225646198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9369","B-cells:MIF_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.383573676385287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9370","Epithelial:ADM_Endothelial:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9371","Epithelial:APP_Endothelial:BACE1",NA,NA,NA,NA,NA,NA,NA,0.0625155423950601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9372","Epithelial:CALM1_Endothelial:FAS",NA,NA,NA,NA,NA,NA,NA,0.15369807103387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9373","Epithelial:FADD_Endothelial:FAS",NA,NA,NA,NA,NA,NA,NA,0.346308436994405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9374","Epithelial:HSPA1A_Endothelial:TLR4",NA,NA,NA,NA,NA,NA,NA,0.10399557031132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9375","Epithelial:IL18_Endothelial:CD48",NA,NA,NA,NA,NA,NA,NA,1.69555769252985,1.69555769252985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9376","Epithelial:LAMA3_Endothelial:ITGA2",NA,NA,NA,NA,NA,NA,NA,0.0447889930331148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0447889930331148,NA,0.0447889930331148
"9377","Epithelial:LAMA3_Endothelial:ITGA3",NA,NA,NA,NA,NA,NA,NA,0.12154531349185,NA,NA,NA,NA,NA,0.12154531349185,NA,NA,NA,NA,NA,NA,NA,NA
"9378","Epithelial:LAMA3_Endothelial:ITGA6",NA,NA,NA,NA,NA,NA,NA,0.074337201056816,NA,NA,0.074337201056816,NA,0.074337201056816,0.074337201056816,0.074337201056816,NA,0.074337201056816,NA,NA,0.074337201056816,NA,0.074337201056816
"9379","Epithelial:LAMA3_Endothelial:ITGB4",NA,NA,NA,NA,NA,NA,NA,0.389070260065186,NA,NA,0.389070260065186,NA,0.389070260065186,0.389070260065186,0.389070260065186,NA,0.389070260065186,NA,NA,0.389070260065186,NA,0.389070260065186
"9380","Epithelial:LAMA3_Endothelial:SV2A",NA,NA,NA,NA,NA,NA,NA,0.196045894737168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9381","Epithelial:LAMB3_Endothelial:ITGA2",NA,NA,NA,NA,NA,NA,NA,0.271412343877565,0.271412343877565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9382","Epithelial:LAMB3_Endothelial:ITGA3",NA,NA,NA,NA,NA,NA,NA,0.31357653629941,0.31357653629941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9383","Epithelial:LAMB3_Endothelial:SV2A",NA,NA,NA,NA,NA,NA,NA,0.196045894737168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9384","Epithelial:NUCB2_Endothelial:ERAP1",NA,NA,NA,NA,NA,NA,NA,2.55348889966554,NA,NA,NA,NA,NA,2.55348889966554,NA,NA,NA,NA,NA,NA,NA,NA
"9385","Epithelial:ZG16B_Endothelial:TLR4",NA,NA,NA,NA,NA,NA,NA,0.28974787442987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9386","Fibroblasts:ADM_Endothelial:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9387","Fibroblasts:ANGPTL2_Endothelial:TLR4",NA,NA,NA,NA,NA,NA,NA,0.0953413518691514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9388","Fibroblasts:APP_Endothelial:BACE1",NA,NA,NA,NA,NA,NA,NA,0.0625155423950601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9389","Fibroblasts:CALM1_Endothelial:FAS",NA,NA,NA,NA,NA,NA,NA,0.15369807103387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9390","Fibroblasts:FGFR1_Endothelial:SDC4",NA,NA,NA,NA,NA,NA,NA,0.0402977190916093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9391","Fibroblasts:HSPA1A_Endothelial:TLR4",NA,NA,NA,NA,NA,NA,NA,0.10399557031132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9392","Fibroblasts:MXRA5_Endothelial:CD69",NA,NA,NA,NA,NA,NA,NA,0.325043379744434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9393","Fibroblasts:MXRA5_Endothelial:SIGLEC7",NA,NA,NA,NA,NA,NA,NA,0.279422105776444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9394","Fibroblasts:NUCB2_Endothelial:ERAP1",NA,NA,NA,NA,NA,NA,NA,2.55348889966554,NA,NA,NA,NA,NA,2.55348889966554,NA,NA,NA,NA,NA,NA,NA,NA
"9395","Fibroblasts:TCTN1_Endothelial:CC2D2A",NA,NA,NA,NA,NA,NA,NA,0.928669943314162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9396","Fibroblasts:WNT2B_Endothelial:FZD3",NA,NA,NA,NA,NA,NA,NA,0.0582174960006198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9397","Endothelial:APP_Endothelial:BACE1",NA,NA,NA,NA,NA,NA,NA,0.0625155423950601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9398","Endothelial:CCL5_Endothelial:CCRL2",NA,NA,NA,NA,NA,NA,NA,0.0513899678723618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9399","Endothelial:CCL5_Endothelial:SDC4",NA,NA,NA,NA,NA,NA,NA,0.425517294524104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9400","Endothelial:CD69_Endothelial:SIRPA",NA,NA,NA,NA,NA,NA,NA,0.141459859424829,0.141459859424829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141459859424829,NA,NA
