Gene;OverallAverageExpression;case_avg;control_avg
AKIRIN1;1,38649742644959e-01;1,53167146423132e-01;1,35894525327713e-01
AKIRIN2;1,13058560645181e-01;1,26910422428326e-01;1,10429654675202e-01
AKNA;1,01566627071717e-01;1,02805479188694e-01;1,01331508805506e-01
AKR1A1;1,18010767070722e-01;1,50189597385543e-01;1,11903637181186e-01
AKR1B1;9,57158528980203e-02;8,38641148417535e-02;9,79651609995966e-02
AKR1C1;1,28833500937928e-02;9,66527217694906e-03;1,34941000694922e-02
AKR1C2;7,42432760991480e-05;-2,88034244567333e-05;9,38002201777831e-05
AKR1C3;5,88735691352228e-02;8,49320076581792e-02;5,39280112258394e-02
AKR1E2;1,11270925969702e-03;1,54334717654917e-03;1,03097969812362e-03
AKR7A2;9,81572369320122e-02;1,20156181069908e-01;9,39821190682379e-02
AKT1;2,74676178408036e-02;4,48970647501309e-02;2,41597320308897e-02
AKT1S1;2,96853325976307e-02;2,40851444572227e-02;3,07481765868218e-02
AKT2;4,65714738686090e-02;4,30690162772523e-02;4,72361954645693e-02
AKT3;2,99444532270499e-02;4,53614165037768e-02;2,70185110373549e-02
AKTIP;3,85728307823796e-02;1,56951096676864e-02;4,29147292621280e-02
ALAD;9,36913320816052e-02;8,93100510314365e-02;9,45228431152308e-02
ALAS1;2,21671983760022e-02;4,54425232483362e-02;1,77498397950407e-02
ALAS2;1,94152552881406e-01;9,49540428581227e-02;2,12979159679527e-01
ALCAM;4,94804123486146e-02;1,27568236610712e-01;3,46603433500157e-02
ALDH16A1;4,16644291485748e-02;4,64316546970837e-02;4,07596707918347e-02
ALDH18A1;2,86894067797581e-02;4,21809744648962e-02;2,61288800154074e-02
ALDH1A1;5,64468100395940e-02;4,90321765222696e-02;5,78540125242893e-02
ALDH1B1;8,06429328921031e-03;1,17991016665676e-02;7,35547448971091e-03
ALDH1L2;1,67916306613366e-03;4,54120708914700e-03;1,13598376386857e-03
ALDH2;6,18271382462817e-02;1,39754965533309e-01;4,70374346245198e-02
ALDH3A2;2,12964562031474e-02;2,71452641557399e-02;2,01864273575999e-02
ALDH3B1;3,56838107987506e-02;8,55075830689085e-02;2,62278968993461e-02
ALDH4A1;6,95140225037692e-03;6,86361073366711e-03;6,96806395592994e-03
ALDH5A1;1,79947673856190e-02;3,25242330389430e-02;1,52372608789414e-02
ALDH6A1;2,49062600191330e-02;4,67986324186116e-02;2,07513681064795e-02
ALDH7A1;7,19836199362473e-03;1,17104817329700e-02;6,34201945240355e-03
ALDH9A1;5,52723502201552e-02;7,39344027162982e-02;5,17305316554579e-02
ALDOA;7,11388144614818e-01;7,79992751115828e-01;6,98367868898670e-01
ALDOC;1,88143975505125e-02;9,26477669281510e-03;2,06267932902953e-02
ALG1;1,73087560698190e-02;2,03681561196932e-02;1,67281211211326e-02
ALG10;7,24661213006946e-03;1,44811099182881e-02;5,87359709981651e-03
