Gene;OverallAverageExpression;case_avg;control_avg
PPP1R8;4,81160178100352e-02;5,24295886494865e-02;4,44955811135858e-02
THEMIS2;2,43005170130860e-01;2,52199184981530e-01;2,35288512634793e-01
RPA2;1,02791203483101e-01;9,42195338968300e-02;1,09985518419614e-01
SMPDL3B;1,72366004539384e-03;1,68615903783244e-03;1,75513513389532e-03
XKR8;2,32381349665124e-02;2,03486029778425e-02;2,56633571401387e-02
EYA3;2,49519411801014e-02;2,74512435308907e-02;2,28542438701226e-02
PTAFR;6,97148482346618e-02;5,53062800095614e-02;8,18081489099056e-02
DNAJC8;3,33186545812968e-01;3,62252062627764e-01;3,08791475558149e-01
ATP5IF1;4,14009828429900e-01;4,39527024592317e-01;3,92592910332256e-01
AL353622.1;8,64043494667635e-03;9,68145855887954e-03;7,76669014735131e-03
SESN2;3,68368864843225e-02;5,13811979758350e-02;2,46296547015796e-02
MED18;9,95861180989884e-03;8,27612750262432e-03;1,13707430009637e-02
PHACTR4;1,37696724975825e-01;1,52245473848897e-01;1,25485768840422e-01
RCC1;2,38135324906297e-02;2,85292770726068e-02;1,98555460865292e-02
SNHG3;2,02811509625887e-01;2,41338815927957e-01;1,70475035103285e-01
TRNAU1AP;6,64175535881552e-02;6,38576415380822e-02;6,85661214153028e-02
SNHG12;6,11708313374598e-02;8,07129480751077e-02;4,47688759282198e-02
TAF12;1,06614545505775e-01;1,11137661333346e-01;1,02818234946862e-01
AL360012.1;5,70681032366222e-02;4,20109086548017e-02;6,97058045376020e-02
GMEB1;7,17625528727411e-02;7,60002957487685e-02;6,82057595825587e-02
YTHDF2;1,76259920436932e-01;1,88903586088218e-01;1,65647925687038e-01
EPB41;2,13297078692201e-01;2,07761104775852e-01;2,17943494356465e-01
SRSF4;3,21577198915671e-01;3,55888015927226e-01;2,92779679269605e-01
MECR;1,61660891704564e-02;1,53923761978496e-02;1,68154766368509e-02
MATN1;1,48115063726597e-03;2,26167249450980e-03;8,26048384510138e-04
MATN1-AS1;8,07644083694599e-03;9,96720890946611e-03;6,48949434435113e-03
LAPTM5;7,80892745837767e-01;8,50085119619065e-01;7,22818677165669e-01
SDC3;4,10488750569138e-03;6,12063637823927e-03;2,41304298507904e-03
PUM1;2,11400271321044e-01;2,46010067370379e-01;1,82351814639252e-01
SNRNP40;9,08925306489380e-02;8,57803119933317e-02;9,51832829536769e-02
ZCCHC17;9,05323304079754e-02;8,61600803454768e-02;9,42020173475173e-02
AL451070.1;8,35098120670470e-04;1,30257331195014e-03;4,42740048859160e-04
SERINC2;1,46189498672033e-02;2,01430619624410e-02;9,98248998529202e-03
LINC01226;5,26512514426825e-03;3,94893037894210e-03;6,36982470883308e-03
PEF1;7,48309926408963e-02;8,34587828588618e-02;6,75895749206386e-02
AL136115.2;7,46197565265420e-03;9,40974892233403e-03;5,82718394889512e-03
PTP4A2;6,76305481916481e-01;6,98423701589737e-01;6,57741369457077e-01
KHDRBS1;3,52842885035198e-01;3,59926285609043e-01;3,46897693840318e-01
AL445248.1;4,96021043557929e-03;6,12940881281465e-03;3,97888687143205e-03
TMEM39B;2,40983770077538e-02;2,49646388627948e-02;2,33713120480129e-02
KPNA6;9,85206716699581e-02;1,19331735352708e-01;8,10536724126196e-02
TXLNA;5,48898727366073e-02;5,50052021410951e-02;5,47930752517095e-02
