"","interaction_id","sender_cell_type","sender_gene","receiver_cell_type","receiver_gene","sender_pval","receiver_pval","sender_logfc","receiver_logfc"
"11195","T:IFNG_DC:IFNGR2","T","IFNG","DC","IFNGR2",NA,NA,NA,NA
"11196","T:IL16_DC:KCND1","T","IL16","DC","KCND1",NA,NA,NA,NA
"11197","T:IL1B_DC:SIGIRR","T","IL1B","DC","SIGIRR",NA,NA,NA,NA
"11198","T:ITGA4_DC:CD81","T","ITGA4","DC","CD81",NA,NA,NA,NA
"11199","T:ITGA4_DC:CD82","T","ITGA4","DC","CD82",NA,NA,NA,NA
"11200","T:ITGB1_DC:CD81","T","ITGB1","DC","CD81",NA,NA,NA,NA
"11201","T:JAK1_DC:IFNAR2","T","JAK1","DC","IFNAR2",NA,NA,NA,NA
"11202","T:LGALS1_DC:PTPRC","T","LGALS1","DC","PTPRC",NA,NA,NA,NA
"11203","T:LGALS3_DC:ANXA2","T","LGALS3","DC","ANXA2",NA,NA,NA,NA
"11204","T:LRPAP1_DC:LDLR","T","LRPAP1","DC","LDLR",NA,NA,NA,NA
"11205","T:LTA_DC:TNFRSF14","T","LTA","DC","TNFRSF14",NA,NA,NA,NA
"11206","T:LTA_DC:TNFRSF1A","T","LTA","DC","TNFRSF1A",NA,NA,NA,NA
"11207","T:LTA_DC:TNFRSF1B","T","LTA","DC","TNFRSF1B",NA,NA,NA,NA
"11208","T:LTB_DC:CD40","T","LTB","DC","CD40",NA,NA,NA,NA
"11209","T:LTB_DC:TNFRSF1A","T","LTB","DC","TNFRSF1A",NA,NA,NA,NA
"11210","T:LYZ_DC:ITGAL","T","LYZ","DC","ITGAL",NA,NA,NA,NA
"11211","T:MIF_DC:CD44","T","MIF","DC","CD44",NA,NA,NA,NA
"11212","T:MIF_DC:CD74","T","MIF","DC","CD74",NA,NA,NA,NA
"11213","T:MIF_DC:CXCR4","T","MIF","DC","CXCR4",NA,NA,NA,NA
"11214","T:MIF_DC:TNFRSF10D","T","MIF","DC","TNFRSF10D",NA,NA,NA,NA
"11215","T:MIF_DC:TNFRSF14","T","MIF","DC","TNFRSF14",NA,NA,NA,NA
"11216","T:NAMPT_DC:ADORA2A","T","NAMPT","DC","ADORA2A",NA,NA,NA,NA
"11217","T:NAMPT_DC:INSR","T","NAMPT","DC","INSR",NA,NA,NA,NA
"11218","T:PIK3R1_DC:CBL","T","PIK3R1","DC","CBL",NA,NA,NA,NA
"11219","T:PIK3R1_DC:EPN1","T","PIK3R1","DC","EPN1",NA,NA,NA,NA
"11220","T:PKM_DC:CD44","T","PKM","DC","CD44",NA,NA,NA,NA
"11221","T:PPP2R2B_DC:TGFBR2","T","PPP2R2B","DC","TGFBR2",NA,NA,NA,NA
"11222","T:RPS27A_DC:LDLR","T","RPS27A","DC","LDLR",NA,NA,NA,NA
"11223","T:RPS27A_DC:SMAD3","T","RPS27A","DC","SMAD3",NA,NA,NA,NA
"11224","T:RPS27A_DC:TGFBR1","T","RPS27A","DC","TGFBR1",NA,NA,NA,NA
"11225","T:RPS27A_DC:TGFBR2","T","RPS27A","DC","TGFBR2",NA,NA,NA,NA
"11226","T:RPS27A_DC:TLR4","T","RPS27A","DC","TLR4",NA,NA,NA,NA
"11227","T:S100A8_DC:CD36","T","S100A8","DC","CD36",NA,NA,NA,NA
"11228","T:S100A8_DC:CD68","T","S100A8","DC","CD68",NA,NA,NA,NA
"11229","T:S100A8_DC:ITGB2","T","S100A8","DC","ITGB2",NA,NA,NA,NA
"11230","T:S100A8_DC:TLR4","T","S100A8","DC","TLR4",NA,NA,NA,NA
"11231","T:S100A9_DC:ALCAM","T","S100A9","DC","ALCAM",NA,NA,NA,NA
"11232","T:S100A9_DC:CD36","T","S100A9","DC","CD36",NA,NA,NA,NA
"11233","T:S100A9_DC:CD68","T","S100A9","DC","CD68",NA,NA,NA,NA
"11234","T:S100A9_DC:ITGB2","T","S100A9","DC","ITGB2",NA,NA,NA,NA
"11235","T:S100A9_DC:TLR4","T","S100A9","DC","TLR4",NA,NA,NA,NA
"11236","T:SLC7A5_DC:THBS1","T","SLC7A5","DC","THBS1",0,NA,0.277767911470387,NA
"11237","T:SPON2_DC:ITGA4","T","SPON2","DC","ITGA4",NA,NA,NA,NA
"11238","T:SPON2_DC:ITGB2","T","SPON2","DC","ITGB2",NA,NA,NA,NA
"11239","T:SPTAN1_DC:PTPRA","T","SPTAN1","DC","PTPRA",NA,NA,NA,NA
"11240","T:SRGN_DC:CD44","T","SRGN","DC","CD44",0,NA,0.301996973768191,NA
"11241","T:TGFB1_DC:CXCR4","T","TGFB1","DC","CXCR4",4.92179456757968e-175,NA,0.27420084052862,NA
"11242","T:TGFB1_DC:ITGB8","T","TGFB1","DC","ITGB8",4.92179456757968e-175,NA,0.27420084052862,NA
"11243","T:TGFB1_DC:LPP","T","TGFB1","DC","LPP",4.92179456757968e-175,NA,0.27420084052862,NA
"11244","T:TGFB1_DC:SDC2","T","TGFB1","DC","SDC2",4.92179456757968e-175,NA,0.27420084052862,NA
"11245","T:TGFB1_DC:SMAD3","T","TGFB1","DC","SMAD3",4.92179456757968e-175,NA,0.27420084052862,NA
"11246","T:TGFB1_DC:TGFBR1","T","TGFB1","DC","TGFBR1",4.92179456757968e-175,NA,0.27420084052862,NA
"11247","T:TGFB1_DC:TGFBR2","T","TGFB1","DC","TGFBR2",4.92179456757968e-175,NA,0.27420084052862,NA
"11248","T:TGS1_DC:RXRA","T","TGS1","DC","RXRA",NA,NA,NA,NA
"11249","T:THBS1_DC:CD36","T","THBS1","DC","CD36",NA,NA,NA,NA
"11250","T:THBS1_DC:CD47","T","THBS1","DC","CD47",NA,NA,NA,NA
"11251","T:THBS1_DC:ITGA4","T","THBS1","DC","ITGA4",NA,NA,NA,NA
"11252","T:THBS1_DC:PTPRJ","T","THBS1","DC","PTPRJ",NA,NA,NA,NA
"11253","T:TIMP1_DC:CD63","T","TIMP1","DC","CD63",NA,NA,NA,NA
