"","interaction","AML-0024","AML-0160","AML-0693","AML-1371","AML-2123","AML-3133","AML-4340","healthy-1","healthy-2","healthy-3","healthy-4","healthy-4003","healthy-5"
"8975","HSPC:FBN1_Ery:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.395680851547805,NA,0.395680851547805,NA,NA,0.395680851547805
"8976","HSPC:HLA-DMA_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8977","HSPC:HLA-DQA1_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8978","HSPC:HLA-DQA2_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.22262264354736,NA,NA,NA,NA,NA
"8979","HSPC:HLA-DQB1_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.22262264354736,0.22262264354736,0.22262264354736,0.22262264354736,NA,NA
"8980","HSPC:HLA-DRA_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8981","HSPC:HLA-DRB5_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,NA,NA,NA,NA,NA
"8982","HSPC:ICAM4_Ery:ITGA2B",NA,NA,NA,NA,NA,NA,NA,0.79548329042445,0.79548329042445,0.79548329042445,0.79548329042445,NA,0.79548329042445
"8983","HSPC:IGFBP7_Ery:MPIG6B",NA,NA,NA,NA,NA,NA,NA,0.389742481565792,NA,NA,NA,NA,NA
"8984","HSPC:ITGA2B_Ery:ENG",NA,NA,NA,NA,NA,NA,NA,0.11355117676581,0.11355117676581,0.11355117676581,0.11355117676581,0.11355117676581,0.11355117676581
"8985","HSPC:SYK_Ery:FCGR2A",NA,NA,NA,NA,NA,NA,NA,3.64875684999299,3.64875684999299,NA,3.64875684999299,NA,NA
"8986","NK:HLA-DRA_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8987","NK:IGFBP7_Ery:MPIG6B",NA,NA,NA,NA,NA,NA,NA,0.389742481565792,NA,NA,NA,NA,NA
"8988","DC:HLA-DMA_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8989","DC:HLA-DMB_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8990","DC:HLA-DOA_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8991","DC:HLA-DQA1_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8992","DC:HLA-DQA2_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.22262264354736,NA,NA,NA,NA,NA
"8993","DC:HLA-DQB1_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.22262264354736,0.22262264354736,0.22262264354736,0.22262264354736,NA,NA
"8994","DC:HLA-DRA_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8995","DC:HLA-DRB5_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8996","DC:ICAM1_Ery:IL2RG",NA,NA,NA,NA,NA,NA,NA,0.854483163668062,0.854483163668062,0.854483163668062,NA,0.854483163668062,NA
"8997","DC:IGFBP7_Ery:MPIG6B",NA,NA,NA,NA,NA,NA,NA,0.389742481565792,NA,NA,NA,NA,NA
"8998","DC:IL1RN_Ery:IL2RG",NA,NA,NA,NA,NA,NA,NA,0.120643050367149,0.120643050367149,0.120643050367149,0.120643050367149,NA,NA
"8999","DC:MDK_Ery:ITGA4",NA,NA,NA,NA,NA,NA,NA,0.400364222008879,NA,NA,NA,NA,NA
"9000","DC:MDK_Ery:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.264591728034589,NA,NA,NA,NA,NA
