"gene_symbol"	"inDB"	"isLigand"	"isReceptor"	"sum_pseudobulkCellType_expr"	"sum_pseudobulkCellType_expr_threshold"	"sum_pseudobulkCellType_expr_filter"
"ADCY7"	TRUE	FALSE	TRUE	20.1157259195878	3	TRUE
"ADCY9"	TRUE	FALSE	TRUE	7.17610805007252	3	TRUE
"ADCYAP1"	TRUE	TRUE	FALSE	14.2487513466316	3	TRUE
"ADD1"	FALSE	FALSE	FALSE	81.2054364491575	3	TRUE
"ADD3"	FALSE	FALSE	FALSE	85.8970991056811	3	TRUE
"ADH1A"	FALSE	FALSE	FALSE	4.3067637569038	3	TRUE
"ADH1B"	FALSE	FALSE	FALSE	68.6024257659526	3	TRUE
"ADH5"	FALSE	FALSE	FALSE	199.627354935878	3	TRUE
"ADH6"	FALSE	FALSE	FALSE	5.61329076756877	3	TRUE
"ADHFE1"	FALSE	FALSE	FALSE	3.66989146984403	3	TRUE
"ADI1"	FALSE	FALSE	FALSE	270.324799947049	3	TRUE
"ADIPOR1"	TRUE	FALSE	TRUE	147.05859024543	3	TRUE
"ADIPOR2"	TRUE	FALSE	TRUE	40.5126574329569	3	TRUE
"ADIRF"	FALSE	FALSE	FALSE	491.162565075471	3	TRUE
"ADK"	FALSE	FALSE	FALSE	53.5106222883311	3	TRUE
"ADM"	TRUE	TRUE	FALSE	110.879609221001	3	TRUE
"ADM2"	TRUE	TRUE	FALSE	5.33131590303922	3	TRUE
"ADM5"	FALSE	FALSE	FALSE	11.9998191547216	3	TRUE
"ADNP"	FALSE	FALSE	FALSE	34.0758108743464	3	TRUE
"ADNP2"	FALSE	FALSE	FALSE	15.0131039997774	3	TRUE
"ADO"	TRUE	TRUE	FALSE	13.1220730471474	3	TRUE
"ADORA2A-AS1"	FALSE	FALSE	FALSE	3.06616119249528	3	TRUE
"ADORA2B"	TRUE	FALSE	TRUE	13.027068842028	3	TRUE
"ADORA3"	TRUE	FALSE	TRUE	49.8175097072189	3	TRUE
"ADPGK"	FALSE	FALSE	FALSE	84.414145433554	3	TRUE
"ADPRH"	FALSE	FALSE	FALSE	11.6499128268377	3	TRUE
"ADPRHL2"	FALSE	FALSE	FALSE	46.7080126043768	3	TRUE
"ADPRM"	FALSE	FALSE	FALSE	14.0273899612645	3	TRUE
"ADRA2A"	TRUE	TRUE	TRUE	9.04339593452695	3	TRUE
