id_protein,protein_name,tags,tags_reason,tags_description,protein_multidata_id
423,LCK_HUMAN,To_add,,,423
424,FYN_HUMAN,To_add,,,424
425,CCK_HUMAN,To_add,,,425
426,HLA-DOA_HUMAN,To_add,,,426
427,PTMA_HUMAN,To_add,,,427
428,ATP5F1B_HUMAN,To_add,,,428
429,S100A9_HUMAN,To_add,,,429
430,APOA4_HUMAN,To_add,,,430
431,CD2_HUMAN,To_add,,,431
432,CEACAM5_HUMAN,To_add,,,432
433,ENO1_HUMAN,To_add,,,433
434,FCER2_HUMAN,To_add,,,434
435,GPI_HUMAN,To_add,,,435
436,ITGAV_HUMAN,To_add,,,436
437,CRH_HUMAN,To_add,,,437
438,LPL_HUMAN,To_add,,,438
439,SERPINE2_HUMAN,To_add,,,439
440,TPO_HUMAN,To_add,,,440
441,THBD_HUMAN,To_add,,,441
442,PROS1_HUMAN,To_add,,,442
443,P4HB_HUMAN,To_add,,,443
444,KLK3_HUMAN,To_add,,,444
445,ASGR1_HUMAN,To_add,,,445
446,ASGR2_HUMAN,To_add,,,446
447,CSF1R_HUMAN,To_add,,,447
448,ANXA2_HUMAN,To_add,,,448
449,GP1BA_HUMAN,To_add,,,449
450,PRSS1_HUMAN,To_add,,,450
451,PRSS2_HUMAN,To_add,,,451
452,GRP_HUMAN,To_add,,,452
453,CHRNG_HUMAN,To_add,,,453
454,ADRB2_HUMAN,To_add,,,454
455,DCN_HUMAN,To_add,,,455
456,PSAP_HUMAN,To_add,,,456
457,HSP90AA1_HUMAN,To_add,,,457
458,LAMB1_HUMAN,To_add,,,458
459,LYN_HUMAN,To_add,,,459
460,RET_HUMAN,To_add,,,460
461,THBS1_HUMAN,To_add,,,461
462,IGF1R_HUMAN,To_add,,,462
463,MSMB_HUMAN,To_add,,,463
464,COL1A2_HUMAN,To_add,,,464
465,NGFR_HUMAN,To_add,,,465
466,CD55_HUMAN,To_add,,,466
467,SLC3A2_HUMAN,To_add,,,467
468,HSP90AB1_HUMAN,To_add,,,468
469,MMP2_HUMAN,To_add,,,469
470,CTSG_HUMAN,To_add,,,470
471,INHBA_HUMAN,To_add,,,471
472,ITGA2B_HUMAN,To_add,,,472
473,LPA_HUMAN,To_add,,,473
474,CD14_HUMAN,To_add,,,474
475,COL4A2_HUMAN,To_add,,,475
476,PTPRC_HUMAN,To_add,,,476
477,MET_HUMAN,To_add,,,477
478,MELTF_HUMAN,To_add,,,478
479,ADRB1_HUMAN,To_add,,,479
480,CFH_HUMAN,To_add,,,480
481,FGF4_HUMAN,To_add,,,481
482,ITGA5_HUMAN,To_add,,,482
483,VIM_HUMAN,To_add,,,483
484,IL3_HUMAN,To_add,,,484
485,F7_HUMAN,To_add,,,485
486,GNAI3_HUMAN,To_add,,,486
487,IGFBP1_HUMAN,To_add,,,487
488,CELA3B_HUMAN,To_add,,,488
489,RPSA_HUMAN,To_add,,,489
490,IL6R_HUMAN,To_add,,,490
491,HTR1A_HUMAN,To_add,,,491
492,ADRA2A_HUMAN,To_add,,,492
493,NMB_HUMAN,To_add,,,493
494,CD63_HUMAN,To_add,,,494
495,FGF2_HUMAN,To_add,,,495
496,GSTP1_HUMAN,To_add,,,496
497,MMP7_HUMAN,To_add,,,497
498,CD48_HUMAN,To_add,,,498
499,CXCL1_HUMAN,To_add,,,499
500,LGALS1_HUMAN,To_add,,,500
501,QDPR_HUMAN,To_add,,,501
