id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1598,ENSG00000278710,KIR3DL2,KIR3DL2,1031
1599,ENSG00000275083,KIR3DL2,KIR3DL2,1031
1600,ENSG00000277709,KIR3DL2,KIR3DL2,1031
1601,ENSG00000277181,KIR3DL2,KIR3DL2,1031
1602,ENSG00000278707,KIR3DL2,KIR3DL2,1031
1603,ENSG00000278442,KIR3DL2,KIR3DL2,1031
1604,ENSG00000278656,KIR3DL2,KIR3DL2,1031
1605,ENSG00000278361,KIR3DL2,KIR3DL2,1031
1606,ENSG00000275838,KIR3DL2,KIR3DL2,1031
1607,ENSG00000278758,KIR3DL2,KIR3DL2,1031
1608,ENSG00000274722,KIR3DL2,KIR3DL2,1031
1609,ENSG00000284063,KIR3DL2,KIR3DL2,1031
1610,ENSG00000276739,KIR3DL2,KIR3DL2,1031
1611,ENSG00000275511,KIR3DL2,KIR3DL2,1031
1612,ENSG00000278809,KIR3DL2,KIR3DL2,1031
1613,ENSG00000275416,KIR3DL2,KIR3DL2,1031
1614,ENSG00000275626,KIR3DL2,KIR3DL2,1031
1615,ENSG00000278474,KIR3DL2,KIR3DL2,1031
1616,ENSG00000278726,KIR3DL2,KIR3DL2,1031
1617,ENSG00000275262,KIR3DL2,KIR3DL2,1031
1618,ENSG00000278403,KIR3DL2,KIR3DL2,1031
1619,ENSG00000278850,KIR3DL2,KIR3DL2,1031
1620,ENSG00000276357,KIR3DL2,KIR3DL2,1031
1621,ENSG00000277982,KIR3DL2,KIR3DL2,1031
1622,ENSG00000275629,KIR3DL2,KIR3DL2,1031
1623,ENSG00000273735,KIR3DL2,KIR3DL2,1031
1624,ENSG00000276424,KIR3DL2,KIR3DL2,1031
1625,ENSG00000276004,KIR3DL2,KIR3DL2,1031
1626,ENSG00000283823,KIR3DL3,KIR3DL3,1680
1627,ENSG00000276433,KIR3DL3,KIR3DL3,1680
1628,ENSG00000283915,KIR3DL3,KIR3DL3,1680
1629,ENSG00000284086,KIR3DL3,KIR3DL3,1680
1630,ENSG00000283875,KIR3DL3,KIR3DL3,1680
1631,ENSG00000284104,KIR3DL3,KIR3DL3,1680
1632,ENSG00000242019,KIR3DL3,KIR3DL3,1680
1633,ENSG00000284371,KIR3DL3,KIR3DL3,1680
1634,ENSG00000274394,KIR3DL3,KIR3DL3,1680
1635,ENSG00000274696,KIR3DL3,KIR3DL3,1680
1636,ENSG00000284480,KIR3DL3,KIR3DL3,1680
1637,ENSG00000278490,KIR3DL3,KIR3DL3,1680
1638,ENSG00000276196,KIR3DL3,KIR3DL3,1680
1639,ENSG00000277620,KIR3DL3,KIR3DL3,1680
1640,ENSG00000274480,KIR3DL3,KIR3DL3,1680
1641,ENSG00000277028,KIR3DL3,KIR3DL3,1680
1642,ENSG00000276930,KIR3DL3,KIR3DL3,1680
1643,ENSG00000276572,KIR3DL3,KIR3DL3,1680
1644,ENSG00000276328,KIR3DL3,KIR3DL3,1680
1645,ENSG00000276806,KIR3DL3,KIR3DL3,1680
1646,ENSG00000274786,KIR3DL3,KIR3DL3,1680
1647,ENSG00000274763,KIR3DL3,KIR3DL3,1680
1648,ENSG00000276086,KIR3DL3,KIR3DL3,1680
1649,ENSG00000278723,KIR3DL3,KIR3DL3,1680
1650,ENSG00000277552,KIR3DL3,KIR3DL3,1680
1651,ENSG00000284127,KIR3DL3,KIR3DL3,1680
1652,ENSG00000283966,KIR3DL3,KIR3DL3,1680
1653,ENSG00000276084,KIR3DL3,KIR3DL3,1680
1654,ENSG00000274556,KIR3DL3,KIR3DL3,1680
1655,ENSG00000275172,KIR3DL3,KIR3DL3,1680
