"interaction_ID","community","CPDB","NicheNet","CellChat"
"NK:B2M_Gran:LILRB2",TRUE,FALSE,FALSE,FALSE
"NK:HLA-A_Gran:LILRB2",TRUE,FALSE,TRUE,FALSE
"NK:HLA-B_Gran:LILRB2",TRUE,FALSE,TRUE,FALSE
"NK:HLA-F_Gran:LILRB2",TRUE,TRUE,TRUE,TRUE
"NK:SORL1_Gran:APP",TRUE,FALSE,FALSE,FALSE
"NK:GNAI2_Gran:FPR1",TRUE,FALSE,TRUE,FALSE
"NK:LRPAP1_Gran:LDLR",TRUE,FALSE,TRUE,FALSE
"NK:CALM2_Gran:SELL",TRUE,FALSE,TRUE,TRUE
"NK:CALM3_Gran:SELL",TRUE,FALSE,TRUE,TRUE
"NK:LRPAP1_Gran:SORT1",TRUE,FALSE,TRUE,FALSE
"NK:LRPAP1_Gran:SORL1",TRUE,FALSE,TRUE,FALSE
"NK:HSP90B1_Gran:ASGR1",TRUE,FALSE,TRUE,FALSE
"NK:CALR_HSPC:ITGA2B",TRUE,TRUE,FALSE,FALSE
"NK:LRPAP1_HSPC:CD320",TRUE,FALSE,TRUE,FALSE
"NK:JAK1_Ery:IFNAR2",TRUE,FALSE,FALSE,FALSE
"NK:CD44_Ery:EPCAM",TRUE,TRUE,FALSE,TRUE
"NK:CD63_Ery:KIT",TRUE,FALSE,FALSE,FALSE
"NK:LRPAP1_Ery:CD320",TRUE,TRUE,TRUE,FALSE
"NK:CD81_Ery:KIT",TRUE,FALSE,FALSE,FALSE
"NK:HLA-C_DC:LILRB2",TRUE,FALSE,FALSE,TRUE
"NK:PSAP_DC:LRP1",TRUE,TRUE,FALSE,FALSE
"NK:B2M_DC:LILRB2",TRUE,FALSE,TRUE,FALSE
"NK:HLA-DRA_DC:CD4",TRUE,FALSE,TRUE,FALSE
"NK:HLA-DRA_DC:CD37",TRUE,FALSE,TRUE,FALSE
"NK:HLA-DRA_DC:CD81",TRUE,FALSE,TRUE,FALSE
"NK:B2M_DC:CD1C",TRUE,TRUE,TRUE,TRUE
"NK:HLA-DRA_DC:CD63",TRUE,FALSE,TRUE,FALSE
"NK:HLA-DRA_DC:CD53",TRUE,FALSE,TRUE,FALSE
"NK:MIF_DC:TNFRSF14",TRUE,FALSE,TRUE,FALSE
"NK:CALR_DC:LRP1",TRUE,TRUE,TRUE,FALSE
"NK:SORL1_DC:APP",TRUE,TRUE,FALSE,TRUE
"NK:HSP90B1_DC:LRP1",TRUE,FALSE,TRUE,FALSE
"NK:LRPAP1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"NK:HSP90AA1_DC:LRP1",TRUE,FALSE,TRUE,FALSE
"NK:B2M_DC:HLA-F",TRUE,FALSE,TRUE,FALSE
"B:HLA-DRA_Mono:CD37",TRUE,TRUE,TRUE,TRUE
"B:HLA-DRA_Mono:CD63",TRUE,TRUE,TRUE,TRUE
"B:HLA-DRB1_Mono:CD37",TRUE,FALSE,TRUE,TRUE
"B:MIF_Mono:CD74",TRUE,TRUE,TRUE,TRUE
"B:SYK_Mono:FCGR2A",TRUE,TRUE,TRUE,TRUE
"B:HLA-B_Mono:CANX",TRUE,FALSE,TRUE,TRUE
"B:CD81_Mono:CD37",TRUE,TRUE,TRUE,TRUE
"B:HLA-C_Gran:LILRB2",TRUE,FALSE,TRUE,FALSE
"B:B2M_Gran:LILRB2",TRUE,FALSE,FALSE,TRUE
"B:HLA-F_Gran:LILRB2",TRUE,FALSE,TRUE,FALSE
"B:GNAI2_Gran:FPR1",TRUE,FALSE,TRUE,FALSE
"B:ARF6_HSPC:PLD1",TRUE,FALSE,FALSE,FALSE
"B:CALR_HSPC:ITGA2B",TRUE,FALSE,FALSE,FALSE
"B:LRPAP1_HSPC:CD320",TRUE,FALSE,TRUE,FALSE
"B:RPS27A_HSPC:SMAD3",TRUE,FALSE,TRUE,TRUE
"B:UBA52_HSPC:SMAD3",TRUE,FALSE,TRUE,FALSE
"B:UBB_HSPC:SMAD3",TRUE,FALSE,TRUE,TRUE
"B:HLA-C_DC:LILRB2",TRUE,FALSE,FALSE,FALSE
"B:PSAP_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"B:B2M_DC:LILRB2",TRUE,FALSE,TRUE,TRUE
"B:HLA-A_DC:LILRB2",TRUE,FALSE,TRUE,TRUE
"B:HLA-B_DC:LILRB2",TRUE,FALSE,TRUE,TRUE
"B:HLA-F_DC:LILRB2",TRUE,FALSE,FALSE,FALSE
"B:B2M_DC:CD1C",TRUE,TRUE,TRUE,TRUE
"B:MIF_DC:TNFRSF14",TRUE,FALSE,TRUE,FALSE
"B:CALR_DC:LRP1",TRUE,FALSE,TRUE,FALSE
"B:CALM2_DC:KCNQ1",TRUE,FALSE,TRUE,FALSE
"B:CALM1_DC:KCNQ1",TRUE,FALSE,FALSE,FALSE
"B:CALM3_DC:KCNQ1",TRUE,FALSE,FALSE,FALSE
"B:HSP90B1_DC:LRP1",TRUE,FALSE,TRUE,FALSE
"B:HSP90AA1_DC:LRP1",TRUE,TRUE,TRUE,FALSE
"B:CALR_DC:HLA-F",TRUE,FALSE,TRUE,FALSE
"B:B2M_DC:HLA-F",TRUE,FALSE,TRUE,FALSE
"B:ITGA4_DC:CD81",TRUE,FALSE,TRUE,FALSE
"B:TNFRSF13C_DC:LILRB2",TRUE,FALSE,TRUE,FALSE
"HSPC:ICAM4_Mono:ITGAM",TRUE,FALSE,TRUE,FALSE
"HSPC:ICAM4_Mono:ITGB2",TRUE,FALSE,TRUE,FALSE
"HSPC:ICAM4_Mono:ITGA4",TRUE,FALSE,TRUE,FALSE
"HSPC:ICAM4_Mono:ITGB1",TRUE,FALSE,TRUE,FALSE
"HSPC:SERPINE2_Mono:LRP1",TRUE,TRUE,FALSE,TRUE
"HSPC:HRAS_Mono:TLR2",TRUE,FALSE,FALSE,FALSE
"HSPC:GP1BB_Mono:ITGB2",TRUE,TRUE,TRUE,TRUE
"HSPC:GP1BB_Mono:ITGAM",TRUE,TRUE,TRUE,TRUE
"HSPC:CD320_Mono:JAML",TRUE,TRUE,TRUE,TRUE
"HSPC:CD320_Mono:TMEM167A",TRUE,FALSE,TRUE,FALSE
"HSPC:FCGRT_Mono:CD300E",TRUE,TRUE,TRUE,TRUE
"HSPC:CD36_Mono:TLR4",TRUE,FALSE,TRUE,FALSE
"HSPC:MDK_Gran:NOTCH2",TRUE,FALSE,FALSE,FALSE
"HSPC:ANXA1_Gran:FPR1",TRUE,FALSE,FALSE,FALSE
"HSPC:ICAM4_Gran:ITGAM",TRUE,FALSE,TRUE,FALSE
"HSPC:ICAM4_Gran:ITGB2",TRUE,FALSE,TRUE,TRUE
"HSPC:MDK_Gran:LRP1",TRUE,FALSE,FALSE,FALSE
"HSPC:ICAM4_Gran:ITGA4",TRUE,TRUE,TRUE,FALSE
"HSPC:ICAM4_Gran:ITGB1",TRUE,FALSE,TRUE,FALSE
"HSPC:PSEN1_Gran:NCSTN",TRUE,FALSE,FALSE,FALSE
"HSPC:HRAS_Gran:INSR",TRUE,FALSE,FALSE,FALSE
"HSPC:GNAI2_Gran:FPR1",TRUE,FALSE,FALSE,FALSE
"HSPC:SERPINE2_Gran:LRP1",TRUE,TRUE,FALSE,TRUE
"HSPC:HRAS_Gran:TLR2",TRUE,FALSE,FALSE,FALSE
"HSPC:GP1BB_Gran:ITGB2",TRUE,TRUE,TRUE,TRUE
