"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"5145","HSPC:LGALS9_Mono:LRP1","HSPC","LGALS9","Mono","LRP1",NA,NA,NA,NA
"5146","HSPC:LGALS9_Mono:PTPRC","HSPC","LGALS9","Mono","PTPRC",NA,NA,NA,NA
"5147","HSPC:NUCB2_Mono:ERAP1","HSPC","NUCB2","Mono","ERAP1",NA,NA,NA,NA
"5148","HSPC:TNFSF13B_Mono:TFRC","HSPC","TNFSF13B","Mono","TFRC",NA,NA,NA,NA
"5149","T:ACTR2_Mono:LDLR","T","ACTR2","Mono","LDLR",NA,NA,NA,NA
"5150","T:ARF1_Mono:INSR","T","ARF1","Mono","INSR",0.350713490862715,4.22782604412243e-159,NA,NA
"5151","T:CALM1_Mono:ABCA1","T","CALM1","Mono","ABCA1",NA,NA,NA,NA
"5152","T:CALM1_Mono:INSR","T","CALM1","Mono","INSR",NA,NA,NA,NA
"5153","T:CALM1_Mono:KCNN4","T","CALM1","Mono","KCNN4",NA,NA,NA,NA
"5154","T:CALM1_Mono:PDE1B","T","CALM1","Mono","PDE1B",NA,NA,NA,NA
"5155","T:CALM1_Mono:PTPRA","T","CALM1","Mono","PTPRA",NA,NA,NA,NA
"5156","T:CALM1_Mono:SELL","T","CALM1","Mono","SELL",NA,NA,NA,NA
"5157","T:CALM2_Mono:ABCA1","T","CALM2","Mono","ABCA1",NA,NA,NA,NA
"5158","T:CALM2_Mono:INSR","T","CALM2","Mono","INSR",NA,NA,NA,NA
"5159","T:CALM2_Mono:PDE1B","T","CALM2","Mono","PDE1B",NA,NA,NA,NA
"5160","T:CALM2_Mono:SELL","T","CALM2","Mono","SELL",NA,NA,NA,NA
"5161","T:CD2_Mono:CD53","T","CD2","Mono","CD53",NA,NA,0.331852530085835,1.46520245870582e-295
"5162","T:CD47_Mono:SIGLEC1","T","CD47","Mono","SIGLEC1",NA,NA,0.269511973993553,0
"5163","T:CD47_Mono:SIRPA","T","CD47","Mono","SIRPA",NA,NA,NA,NA
"5164","T:GNAI2_Mono:FPR1","T","GNAI2","Mono","FPR1",NA,NA,NA,NA
"5165","T:GNAI2_Mono:IGF1R","T","GNAI2","Mono","IGF1R",NA,NA,NA,NA
"5166","T:HLA-DPB1_Mono:CD4","T","HLA-DPB1","Mono","CD4",NA,NA,NA,NA
"5167","T:HMGB1_Mono:CXCR4","T","HMGB1","Mono","CXCR4",NA,NA,0.46709616608103,0
"5168","T:HMGB1_Mono:HAVCR2","T","HMGB1","Mono","HAVCR2",NA,NA,NA,NA
"5169","T:HMGB1_Mono:TLR2","T","HMGB1","Mono","TLR2",NA,NA,NA,NA
"5170","T:HMGB1_Mono:TLR4","T","HMGB1","Mono","TLR4",NA,NA,NA,NA
"5171","T:HSP90B1_Mono:TLR1","T","HSP90B1","Mono","TLR1",NA,NA,NA,NA
"5172","T:NUCB2_Mono:ERAP1","T","NUCB2","Mono","ERAP1",NA,NA,NA,NA
