"","interaction_ID","AML-0024","AML-0160","AML-0693","AML-1371","AML-2123","AML-3133","AML-4340","healthy-1","healthy-2","healthy-3","healthy-4","healthy-4003","healthy-5"
"3354","DC:ADRB2_NK:TMEM259",0,0,0,0.367,0,0,0,0,0,0,0,0,0
"3355","Gran:ADRB2_NK:TMEM259",0,0,0,0.414,0,0,0,0,0.157,0,0,0.194,0
"3356","HSPC:ADRB2_NK:TMEM259",0,0,0,0.4,0,0,0,0,0,0,0,0,0
"3357","Mono:ADRB2_NK:TMEM259",0,0,0,0.302,0,0,0,0,0,0,0,0,0
"3358","NK:ADRB2_NK:TMEM259",0,0,0,0.329,0.39,0,0,0,0,0,0,0,0
"3359","T:ADRB2_NK:TMEM259",0.259,0,0,0.294,0,0,0,0,0,0,0,0,0
"3360","DC:ADRB2_NK:VAPA",0,0,0,0.49,0,0,0,0,0,0,0.281,0,0
"3361","Gran:ADRB2_NK:VAPA",0,0,0,0.537,0,0,0,0,0.402,0,0,0.317,0
"3362","HSPC:ADRB2_NK:VAPA",0,0,0,0.524,0,0,0,0,0,0,0,0,0
"3363","Mono:ADRB2_NK:VAPA",0,0,0,0.426,0,0,0,0,0,0,0,0,0
"3364","NK:ADRB2_NK:VAPA",0,0,0,0.453,0.496,0,0,0,0,0,0.369,0,0
"3365","T:ADRB2_NK:VAPA",0.353,0,0,0.417,0,0,0,0,0,0,0,0,0
"3366","DC:SERPINF1_DC:PLXDC2",0,0.258,0.342,0,0,0,0.404,0.498,0.299,0.282,0.521,0.388,0.442
"3367","DC:SERPINF1_Ery:PLXDC2",0,0,0,0,0,0,0,0.398,0.199,0.097,0.348,0.228,0.382
"3368","DC:SERPINF1_Gran:PLXDC2",0,0.26,0.274,0,0,0,0.438,0.57,0.296,0.242,0.518,0.368,0.508
"3369","DC:SERPINF1_HSPC:PLXDC2",0,0.117,0.344,0,0,0,0.408,0.475,0.32,0.222,0.461,0.306,0.482
"3370","DC:SERPINF1_Mono:PLXDC2",0,0.276,0.493,0,0,0,0.569,0.553,0.339,0.339,0.638,0.475,0.573
"3371","Ery:SERPINF1_Mono:PLXDC2",0,0,0,0,0,0,0,0.215,0,0,0,0,0
"3424","DC:LGALS3_B:PTPRK",0,0,0,0.438,0,0,0,0,0,0,0,0,0
"3425","Gran:LGALS9_B:PTPRK",0,0,0,0.395,0,0,0,0,0,0,0,0,0
"3426","Gran:LGALS9_DC:PTPRK",0,0,0,0,0,0.247,0,0,0,0,0,0,0
"3427","Mono:LGALS9_B:PTPRK",0,0,0,0.485,0,0,0,0,0,0,0,0,0
"3428","Mono:LGALS9_DC:PTPRK",0,0,0,0,0,0.28,0,0,0,0,0,0,0
"3429","B:CD44_Ery:ACVR2B",0,0,0,0,0,0,0,0,0,0,0,0.324,0
"3430","DC:CD44_Ery:ACVR2B",0,0,0,0,0,0,0,0,0,0,0,0.466,0
"3431","HSPC:CD44_Ery:ACVR2B",0,0,0,0,0,0,0,0,0,0,0,0.372,0
