"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj","direction"
"36","T:HLA-C_T:CD8A","T","HLA-C","T","CD8A",NA,NA,0.275455168421118,9.08538764991118e-77,"down"
"37","Mono:HBEGF_B:CD9","Mono","HBEGF","B","CD9",0.279703800843915,0.279703800843915,NA,NA,"down"
"38","Mono:HBEGF_DC:CD9","Mono","HBEGF","DC","CD9",0.279703800843915,0.279703800843915,0.348601194727226,1.73146931709399e-36,"down"
"39","Mono:HBEGF_Ery:CD9","Mono","HBEGF","Ery","CD9",0.279703800843915,0.279703800843915,NA,NA,"down"
"40","Mono:HBEGF_Gran:CD9","Mono","HBEGF","Gran","CD9",0.279703800843915,0.279703800843915,NA,NA,"down"
"41","Mono:HBEGF_HSPC:CD9","Mono","HBEGF","HSPC","CD9",0.279703800843915,0.279703800843915,NA,NA,"down"
"42","DC:HBEGF_Mono:CD9","DC","HBEGF","Mono","CD9",NA,NA,0.504201686688928,0,"down"
"43","Gran:HBEGF_Mono:CD9","Gran","HBEGF","Mono","CD9",NA,NA,0.504201686688928,0,"down"
"44","HSPC:HBEGF_Mono:CD9","HSPC","HBEGF","Mono","CD9",NA,NA,0.504201686688928,0,"down"
"45","Mono:HBEGF_Mono:CD9","Mono","HBEGF","Mono","CD9",0.279703800843915,0.279703800843915,0.504201686688928,0,"down"
"46","DC:HBEGF_B:CD44","DC","HBEGF","B","CD44",NA,NA,0.30255921203662,2.28594521517211e-32,"down"
"47","Ery:HBEGF_B:CD44","Ery","HBEGF","B","CD44",NA,NA,0.30255921203662,2.28594521517211e-32,"up"
"48","Gran:HBEGF_B:CD44","Gran","HBEGF","B","CD44",NA,NA,0.30255921203662,2.28594521517211e-32,"down"
"49","HSPC:HBEGF_B:CD44","HSPC","HBEGF","B","CD44",NA,NA,0.30255921203662,2.28594521517211e-32,"down"
"50","Mono:HBEGF_B:CD44","Mono","HBEGF","B","CD44",0.279703800843915,0.279703800843915,0.30255921203662,2.28594521517211e-32,"down"
"51","DC:HBEGF_DC:CD44","DC","HBEGF","DC","CD44",NA,NA,0.359023389652187,4.93839176811804e-21,"down"
"52","Ery:HBEGF_DC:CD44","Ery","HBEGF","DC","CD44",NA,NA,0.359023389652187,4.93839176811804e-21,"up"
"53","Gran:HBEGF_DC:CD44","Gran","HBEGF","DC","CD44",NA,NA,0.359023389652187,4.93839176811804e-21,"down"
"54","HSPC:HBEGF_DC:CD44","HSPC","HBEGF","DC","CD44",NA,NA,0.359023389652187,4.93839176811804e-21,"down"
"55","Mono:HBEGF_DC:CD44","Mono","HBEGF","DC","CD44",0.279703800843915,0.279703800843915,0.359023389652187,4.93839176811804e-21,"down"
"56","Mono:HBEGF_Ery:CD44","Mono","HBEGF","Ery","CD44",0.279703800843915,0.279703800843915,NA,NA,"down"
"57","Mono:HBEGF_Gran:CD44","Mono","HBEGF","Gran","CD44",0.279703800843915,0.279703800843915,NA,NA,"down"
"58","DC:HBEGF_HSPC:CD44","DC","HBEGF","HSPC","CD44",NA,NA,0.532332643147725,2.78177603073879e-82,"down"
"59","Ery:HBEGF_HSPC:CD44","Ery","HBEGF","HSPC","CD44",NA,NA,0.532332643147725,2.78177603073879e-82,"up"
"60","Gran:HBEGF_HSPC:CD44","Gran","HBEGF","HSPC","CD44",NA,NA,0.532332643147725,2.78177603073879e-82,"down"
"61","HSPC:HBEGF_HSPC:CD44","HSPC","HBEGF","HSPC","CD44",NA,NA,0.532332643147725,2.78177603073879e-82,"up"
"62","Mono:HBEGF_HSPC:CD44","Mono","HBEGF","HSPC","CD44",0.279703800843915,0.279703800843915,0.532332643147725,2.78177603073879e-82,"down"
"63","Mono:HBEGF_Mono:CD44","Mono","HBEGF","Mono","CD44",0.279703800843915,0.279703800843915,NA,NA,"down"
"64","DC:HBEGF_NK:CD44","DC","HBEGF","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24,"down"
"65","Gran:HBEGF_NK:CD44","Gran","HBEGF","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24,"down"
"66","HSPC:HBEGF_NK:CD44","HSPC","HBEGF","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24,"down"
"67","Mono:HBEGF_NK:CD44","Mono","HBEGF","NK","CD44",0.279703800843915,0.279703800843915,0.261949285192484,8.29308871850973e-24,"down"
"68","DC:HBEGF_T:CD44","DC","HBEGF","T","CD44",NA,NA,0.372921636490384,7.13047345198438e-170,"down"
"69","Ery:HBEGF_T:CD44","Ery","HBEGF","T","CD44",NA,NA,0.372921636490384,7.13047345198438e-170,"up"
"70","Gran:HBEGF_T:CD44","Gran","HBEGF","T","CD44",NA,NA,0.372921636490384,7.13047345198438e-170,"down"
"71","HSPC:HBEGF_T:CD44","HSPC","HBEGF","T","CD44",NA,NA,0.372921636490384,7.13047345198438e-170,"down"
"72","Mono:HBEGF_T:CD44","Mono","HBEGF","T","CD44",0.279703800843915,0.279703800843915,0.372921636490384,7.13047345198438e-170,"down"
"73","DC:HBEGF_NK:CD6","DC","HBEGF","NK","CD6",NA,NA,0.290021653772457,5.62531410574651e-50,"down"
"74","Gran:HBEGF_NK:CD6","Gran","HBEGF","NK","CD6",NA,NA,0.290021653772457,5.62531410574651e-50,"down"
"75","HSPC:HBEGF_NK:CD6","HSPC","HBEGF","NK","CD6",NA,NA,0.290021653772457,5.62531410574651e-50,"down"
"76","Mono:HBEGF_NK:CD6","Mono","HBEGF","NK","CD6",0.279703800843915,0.279703800843915,0.290021653772457,5.62531410574651e-50,"down"
"77","DC:HBEGF_T:CD6","DC","HBEGF","T","CD6",NA,NA,0.278549160674743,7.67882943660088e-119,"down"
"78","Ery:HBEGF_T:CD6","Ery","HBEGF","T","CD6",NA,NA,0.278549160674743,7.67882943660088e-119,"up"
"79","Gran:HBEGF_T:CD6","Gran","HBEGF","T","CD6",NA,NA,0.278549160674743,7.67882943660088e-119,"down"
"80","HSPC:HBEGF_T:CD6","HSPC","HBEGF","T","CD6",NA,NA,0.278549160674743,7.67882943660088e-119,"down"
"81","Mono:HBEGF_T:CD6","Mono","HBEGF","T","CD6",0.279703800843915,0.279703800843915,0.278549160674743,7.67882943660088e-119,"down"
"82","Mono:HBEGF_Ery:PRLR","Mono","HBEGF","Ery","PRLR",0.279703800843915,0.279703800843915,NA,NA,"up"
"83","Mono:HBEGF_Gran:PRLR","Mono","HBEGF","Gran","PRLR",0.279703800843915,0.279703800843915,NA,NA,"down"
"84","Mono:HBEGF_HSPC:PRLR","Mono","HBEGF","HSPC","PRLR",0.279703800843915,0.279703800843915,NA,NA,"up"
"85","Mono:HBEGF_Mono:PRLR","Mono","HBEGF","Mono","PRLR",0.279703800843915,0.279703800843915,NA,NA,"down"
"86","Mono:HBEGF_B:CD82","Mono","HBEGF","B","CD82",0.279703800843915,0.279703800843915,NA,NA,"down"
"87","Mono:HBEGF_DC:CD82","Mono","HBEGF","DC","CD82",0.279703800843915,0.279703800843915,NA,NA,"down"
"88","DC:HBEGF_Ery:CD82","DC","HBEGF","Ery","CD82",NA,NA,-0.325524958584752,1.92871032516903e-41,"down"
"89","Ery:HBEGF_Ery:CD82","Ery","HBEGF","Ery","CD82",NA,NA,-0.325524958584752,1.92871032516903e-41,"down"
"90","Gran:HBEGF_Ery:CD82","Gran","HBEGF","Ery","CD82",NA,NA,-0.325524958584752,1.92871032516903e-41,"down"
"91","Mono:HBEGF_Ery:CD82","Mono","HBEGF","Ery","CD82",0.279703800843915,0.279703800843915,-0.325524958584752,1.92871032516903e-41,"down"
"92","Mono:HBEGF_Gran:CD82","Mono","HBEGF","Gran","CD82",0.279703800843915,0.279703800843915,NA,NA,"down"
"93","Mono:HBEGF_HSPC:CD82","Mono","HBEGF","HSPC","CD82",0.279703800843915,0.279703800843915,NA,NA,"down"
"94","Mono:HBEGF_Mono:CD82","Mono","HBEGF","Mono","CD82",0.279703800843915,0.279703800843915,NA,NA,"down"
"95","Mono:HBEGF_T:CD82","Mono","HBEGF","T","CD82",0.279703800843915,0.279703800843915,NA,NA,"down"
"96","DC:ADAM17_B:ITGB1","DC","ADAM17","B","ITGB1",0.277502813517776,0.277502813517776,NA,NA,"down"
"97","Gran:ADAM17_B:ITGB1","Gran","ADAM17","B","ITGB1",0.278911916006783,0.278911916006783,NA,NA,"down"
"98","HSPC:ADAM17_B:ITGB1","HSPC","ADAM17","B","ITGB1",0.302387400990719,0.302387400990719,NA,NA,"down"
"99","Mono:ADAM17_B:ITGB1","Mono","ADAM17","B","ITGB1",0.277308065838134,0.277308065838134,NA,NA,"down"
"100","DC:ADAM17_DC:ITGB1","DC","ADAM17","DC","ITGB1",0.277502813517776,0.277502813517776,NA,NA,"down"
"101","Gran:ADAM17_DC:ITGB1","Gran","ADAM17","DC","ITGB1",0.278911916006783,0.278911916006783,NA,NA,"down"
"102","HSPC:ADAM17_DC:ITGB1","HSPC","ADAM17","DC","ITGB1",0.302387400990719,0.302387400990719,NA,NA,"down"
"103","Mono:ADAM17_DC:ITGB1","Mono","ADAM17","DC","ITGB1",0.277308065838134,0.277308065838134,NA,NA,"down"
"104","DC:ADAM17_Ery:ITGB1","DC","ADAM17","Ery","ITGB1",0.277502813517776,0.277502813517776,NA,NA,"down"
"105","Gran:ADAM17_Ery:ITGB1","Gran","ADAM17","Ery","ITGB1",0.278911916006783,0.278911916006783,NA,NA,"down"
"106","HSPC:ADAM17_Ery:ITGB1","HSPC","ADAM17","Ery","ITGB1",0.302387400990719,0.302387400990719,NA,NA,"down"
"107","Mono:ADAM17_Ery:ITGB1","Mono","ADAM17","Ery","ITGB1",0.277308065838134,0.277308065838134,NA,NA,"down"
