interaction_ID,AML.0024,AML.0160,AML.0693,AML.1371,AML.2123,AML.3133,AML.4340,healthy.1,healthy.2,healthy.3,healthy.4,healthy.4003,healthy.5
Mono:F13A1_Gran:ITGA4,1,0,0,0,1,0,1,0,0,1,1,0,0
B:VCAN_Gran:ITGA4,0,1,0,0,0,0,0,0,0,0,0,0,0
DC:VCAN_Gran:ITGA4,1,1,0,1,0,1,1,1,1,1,1,1,1
Gran:VCAN_Gran:ITGA4,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:VCAN_Gran:ITGA4,1,1,1,1,1,1,1,1,1,1,1,1,1
NK:VCAN_Gran:ITGA4,1,0,0,0,0,1,0,0,0,0,0,0,0
Gran:THBS1_Gran:ITGA4,1,0,0,0,1,1,1,1,1,1,0,0,0
Mono:THBS1_Gran:ITGA4,1,0,1,0,1,0,1,1,1,1,1,1,1
T:THBS1_Gran:ITGA4,1,0,0,0,0,0,0,0,0,0,0,0,0
DC:CD14_Gran:ITGA4,1,0,0,0,0,0,1,0,0,1,1,1,1
Gran:CD14_Gran:ITGA4,1,1,0,0,1,0,1,1,1,1,1,1,1
Mono:CD14_Gran:ITGA4,1,1,1,1,1,1,1,1,1,1,1,1,1
