cluster	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
272	Gran	DUSP6	3.32158994438601e-44	0.264643861472801	0.503	0.227	5.23814734229674e-40
273	Gran	PCLAF	5.05536814061969e-43	-0.278614721890354	0.163	0.417	7.97231555775726e-39
274	Gran	HLA-DPA1	2.77149464958459e-41	-0.2846393425168	0.417	0.688	4.3706470623949e-37
275	Gran	AREG	3.45386897375227e-40	-0.337985089123159	0.162	0.379	5.44675137160733e-36
276	Gran	MKI67	1.78637180567607e-38	-0.273074214826467	0.16	0.422	2.81710833755116e-34
277	Gran	CD52	3.65930714411868e-38	-0.262811733589469	0.179	0.408	5.77072736627515e-34
278	Gran	PRTN3	4.58553135207231e-36	-0.295751698625892	0.082	0.275	7.23138294221803e-32
279	Gran	RPS4Y1	1.5591764456026e-33	0.262178570813638	0.627	0.321	2.4588212547153e-29
280	Gran	AC103591.3	1.73440275917563e-33	0.267545540871414	0.524	0.338	2.73515315121997e-29
281	Gran	CITED2	9.82279694622523e-33	0.252122152908839	0.506	0.298	1.54905507841972e-28
282	T	CXCR4	0	0.412216701695699	0.889	0.518	0
283	T	NR4A2	0	0.373724087969537	0.536	0.171	0
284	T	BHLHE40	0	0.309030150757729	0.364	0.068	0
285	T	TNFAIP3	0	0.417851764072454	0.805	0.402	0
286	T	SRGN	0	0.301996973768191	0.925	0.645	0
287	T	MTRNR2L8	0	0.408494109789604	0.382	0.035	0
288	T	SLC7A5	0	0.277767911470387	0.264	0.026	0
289	T	ZFP36	0	0.425973930065895	0.662	0.248	0
290	T	RBM38	0	0.371091286514588	0.522	0.16	0
291	T	RPS4Y1	0	0.45183595998684	0.764	0.299	0
292	T	DDX3Y	0	0.365013180506631	0.472	0.103	0
293	T	CREM	1.21079496334594e-307	0.337342808796237	0.446	0.132	1.90942365719655e-303
294	T	YPEL5	1.92650915335054e-297	0.356564334021383	0.683	0.306	3.0381049348338e-293
295	T	SBDS	9.13585451810868e-288	0.343041517897788	0.607	0.243	1.44072425750574e-283
296	T	GABARAPL1	5.24402686533993e-285	0.323610840845116	0.439	0.134	8.26983036664108e-281
297	T	HNRNPH1	1.10752842270015e-281	0.324872987375106	0.76	0.412	1.74657232259813e-277
298	T	SRSF2	8.24660271924254e-276	0.333697104345437	0.614	0.264	1.30048924882455e-271
299	T	IRF2BP2	2.68341360251354e-266	0.317508036261755	0.541	0.208	4.23174325116385e-262
300	T	KLF6	1.95407044658834e-265	0.322306912463238	0.775	0.455	3.08156909426982e-261
301	T	PDE4D	8.12281666433187e-259	0.294582644100661	0.399	0.118	1.28096818796514e-254
302	T	RSRC2	7.03672616447888e-252	0.322718800035262	0.627	0.279	1.10969171613832e-247
303	T	DNAJB6	1.06619230310477e-248	0.31774261599885	0.623	0.278	1.68138526199623e-244
304	T	RUNX3	1.92008066082498e-240	0.321893253870696	0.617	0.277	3.02796720212099e-236
305	T	LINC-PINT	9.7126349699297e-239	0.31933767194588	0.684	0.334	1.53168253475791e-234
306	T	IDI1	1.55611851095808e-237	0.300550568075834	0.505	0.199	2.4539988917809e-233
307	T	HSPA5	2.89054401328e-224	0.306583156687759	0.692	0.366	4.55838790894256e-220
308	T	KDM6B	2.18628024509587e-223	0.256168075289988	0.307	0.08	3.44776394651618e-219
309	T	SPOCK2	1.74547989506297e-215	0.298043965115617	0.634	0.323	2.7526217945143e-211
310	T	SELENOK	1.42682278847846e-206	0.293308792363814	0.642	0.325	2.25009953743052e-202
311	T	EML4	1.2328361499497e-200	0.292963593499277	0.644	0.323	1.94418260847068e-196
312	T	CD69	2.19283393535674e-195	0.293941290332895	0.716	0.401	3.45809911605759e-191
313	T	BCLAF1	3.796892498862e-187	0.28350263686079	0.704	0.381	5.98769947070538e-183
314	T	DDX21	6.09229753712331e-183	0.276435819743594	0.578	0.29	9.60755321604345e-179
315	T	CHD1	1.43094196423873e-182	0.269912694850932	0.527	0.245	2.25659547760448e-178
316	T	PMAIP1	4.23781686855197e-180	0.257222635641687	0.321	0.107	6.68303720170646e-176
317	T	TGFB1	3.12098577525661e-179	0.274200840528619	0.616	0.336	4.92179456757968e-175
318	T	EZR	7.66333559688706e-177	0.275051488891889	0.633	0.331	1.20850802362909e-172
319	T	HNRNPH3	1.70662453792633e-175	0.269673860355673	0.614	0.316	2.69134689630982e-171
320	T	CD44	4.52154308940037e-174	0.266350860042237	0.726	0.433	7.13047345198438e-170
321	T	ADGRE5	2.69023372725433e-173	0.253163626658794	0.441	0.182	4.24249858788007e-169
322	T	NFKBIA	7.59518356224724e-172	0.277299337393685	0.685	0.377	1.19776044776639e-167
323	T	ARF1	2.68092964116831e-163	0.262743108648173	0.613	0.308	4.22782604412243e-159
324	T	PPP1CB	3.70393575454205e-163	0.254808527488998	0.549	0.263	5.84110668491282e-159
325	T	SLC2A3	1.17840535432161e-162	0.250156782197917	0.48	0.22	1.85834524376518e-158
326	T	STK17B	1.84210432161393e-156	0.254562967981159	0.712	0.422	2.90499851518517e-152
327	T	CCNL1	2.85851426095626e-156	0.26455996466661	0.766	0.452	4.50787698952802e-152
328	T	SNRPB	5.70613447748779e-152	0.254280811309898	0.606	0.307	8.99857407099824e-148
329	T	RNF19A	7.09685666842252e-146	0.252346111974853	0.567	0.288	1.11917429661023e-141
330	B	CD79B	0	-0.657093855301774	0.255	0.798	0
331	B	EZR	4.72309561661158e-221	0.410237390860466	0.859	0.52	7.44832178739647e-217
332	B	TCL1A	1.95741627462508e-211	-0.663679671922379	0.046	0.51	3.08684546508375e-207
333	B	TSC22D3	4.01517933686388e-201	0.332627652642018	0.915	0.664	6.33193781423434e-197
334	B	DDX21	2.38758094472027e-188	0.449821585560558	0.704	0.323	3.76521514982386e-184
335	B	OAZ1	4.02372261253238e-176	-0.398135179165683	0.466	0.793	6.34541055996357e-172
336	B	KLF6	2.58788152025504e-175	0.406221577877911	0.834	0.489	4.0810891574422e-171
337	B	ARPC3	8.83296784706641e-160	-0.366880879147017	0.504	0.819	1.39295902948237e-155
338	B	PRRC2C	2.90276327444011e-144	0.333563030787002	0.839	0.538	4.57765768379205e-140
339	B	PELI1	8.83623960225281e-142	0.385759385906725	0.448	0.13	1.39347498527527e-137
340	B	H3F3A	4.37652165891216e-132	-0.264110306100961	0.696	0.911	6.90177465610448e-128
341	B	LTB	5.91954329032328e-129	-0.367301712302093	0.439	0.737	9.33511976883981e-125
342	B	RCSD1	4.2734949495481e-124	-0.421316391729344	0.209	0.563	6.73930153543735e-120
343	B	IFI44L	1.48038499576867e-116	0.306409164951939	0.238	0.031	2.33456713832719e-112
344	B	ATP6V1G1	7.66224969308003e-116	-0.354600492177321	0.363	0.668	1.20833677659872e-111
345	B	STX7	3.47205596518576e-115	-0.409067630485783	0.172	0.51	5.47543225709795e-111
