id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1352,ENSG00000131096,PYY,PYY,322
1353,ENSG00000188710,QRFP,QRFP,803
1354,ENSG00000186867,QRFPR,QRFPR,1095
1355,ENSG00000164520,RAET1E,RAET1E,1040
1356,ENSG00000203722,RAET1G,RAET1G,963
1357,ENSG00000155918,RAET1L,RAET1L,958
1358,ENSG00000132329,RAMP1,RAMP1,94
1359,ENSG00000131477,RAMP2,RAMP2,95
1360,ENSG00000122679,RAMP3,RAMP3,96
1361,ENSG00000131759,RARA,RARA,328
1362,ENSG00000077092,RARB,RARB,334
1363,ENSG00000172819,RARG,RARG,372
1364,ENSG00000106538,RARRES2,RARRES2,1122
1365,ENSG00000138207,RBP4,RBP4,210
1366,ENSG00000189056,RELN,RELN,794
1367,ENSG00000143839,REN,REN,145
1368,ENSG00000165731,RET,RET,276
1369,ENSG00000104918,RETN,RETN,1184
1370,ENSG00000137275,RIPK1,RIPK1,872
1371,ENSG00000107018,RLN1,RLN1,237
1372,ENSG00000107014,RLN2,RLN2,226
1373,ENSG00000171136,RLN3,RLN3,1053
1374,ENSG00000026297,RNASET2,RNASET2,33
1375,ENSG00000169855,ROBO1,ROBO1,1279
1376,ENSG00000185008,ROBO2,ROBO2,1179
1377,ENSG00000154134,ROBO3,ROBO3,1090
1378,ENSG00000185483,ROR1,ROR1,815
1379,ENSG00000169071,ROR2,ROR2,816
1380,ENSG00000069667,RORA,RORA,621
1381,ENSG00000198963,RORB,RORB,1062
1382,ENSG00000143365,RORC,RORC,733
1383,ENSG00000047936,ROS1,ROS1,301
1384,ENSG00000105372,RPS19,RPS19,645
1385,ENSG00000169218,RSPO1,RSPO1,944
1386,ENSG00000147655,RSPO2,RSPO2,980
1387,ENSG00000146374,RSPO3,RSPO3,1134
1388,ENSG00000101282,RSPO4,RSPO4,943
1389,ENSG00000171509,RXFP1,RXFP1,1175
1390,ENSG00000133105,RXFP2,RXFP2,1052
1391,ENSG00000277069,RXFP3,RXFP3,1204
1392,ENSG00000182631,RXFP3,RXFP3,1204
1393,ENSG00000173080,RXFP4,RXFP4,1045
1394,ENSG00000186350,RXRA,RXRA,445
1395,ENSG00000235712,RXRB,RXRB,544
1396,ENSG00000227322,RXRB,RXRB,544
1397,ENSG00000204231,RXRB,RXRB,544
1398,ENSG00000231321,RXRB,RXRB,544
1399,ENSG00000206289,RXRB,RXRB,544
1400,ENSG00000228333,RXRB,RXRB,544
1401,ENSG00000143171,RXRG,RXRG,708
1402,ENSG00000163785,RYK,RYK,607
1403,ENSG00000267534,S1PR2,S1PR2,117
1404,ENSG00000173432,SAA1,SAA1,319
1405,ENSG00000168079,SCARA5,SCARA5,986
1406,ENSG00000161055,SCGB3A1,SCGB3A1,1100
1407,ENSG00000070031,SCT,SCT,312
1408,ENSG00000274473,SCT,SCT,312
1409,ENSG00000080293,SCTR,SCTR,697
1410,ENSG00000007908,SELE,SELE,414
1411,ENSG00000188404,SELL,SELL,380
1412,ENSG00000174175,SELP,SELP,404
1413,ENSG00000110876,SELPLG,SELPLG,891
1414,ENSG00000075213,SEMA3A,SEMA3A,895
1415,ENSG00000075223,SEMA3C,SEMA3C,1124
1416,ENSG00000170381,SEMA3E,SEMA3E,55
1417,ENSG00000001617,SEMA3F,SEMA3F,862
1418,ENSG00000196189,SEMA4A,SEMA4A,1157
1419,ENSG00000168758,SEMA4C,SEMA4C,1142
1420,ENSG00000187764,SEMA4D,SEMA4D,1066
1421,ENSG00000095539,SEMA4G,SEMA4G,1205
1422,ENSG00000112902,SEMA5A,SEMA5A,873
1423,ENSG00000092421,SEMA6A,SEMA6A,1154
1424,ENSG00000137872,SEMA6D,SEMA6D,1032
1425,ENSG00000138623,SEMA7A,SEMA7A,103
1426,ENSG00000104332,SFRP1,SFRP1,1018
1427,ENSG00000145423,SFRP2,SFRP2,1084
1428,ENSG00000106483,SFRP4,SFRP4,961
1429,ENSG00000120057,SFRP5,SFRP5,954
1430,ENSG00000164690,SHH,SHH,916
1431,ENSG00000185187,SIGIRR,SIGIRR,964
1432,ENSG00000088827,SIGLEC1,SIGLEC1,1141
1433,ENSG00000142512,SIGLEC10,SIGLEC10,1088
1434,ENSG00000197046,SIGLEC15,SIGLEC15,985
1435,ENSG00000198053,SIRPA,SIRPA,791
1436,ENSG00000101307,SIRPB1,SIRPB1,23
1437,ENSG00000089012,SIRPG,SIRPG,1221
1438,ENSG00000117090,SLAMF1,SLAMF1,863
1439,ENSG00000155380,SLC16A1,SLC16A1,753
1440,ENSG00000281917,SLC16A1,SLC16A1,753
1441,ENSG00000105281,SLC1A5,SLC1A5,919
1442,ENSG00000092096,SLC22A17,SLC22A17,1048
1443,ENSG00000139514,SLC7A1,SLC7A1,572
1444,ENSG00000187122,SLIT1,SLIT1,99
1445,ENSG00000145147,SLIT2,SLIT2,114
1446,ENSG00000126233,SLURP1,SLURP1,761
1447,ENSG00000128602,SMO,SMO,1121
1448,ENSG00000137642,SORL1,SORL1,1058
1449,ENSG00000134243,SORT1,SORT1,1111
1450,ENSG00000171243,SOSTDC1,SOSTDC1,983
1451,ENSG00000197471,SPN,SPN,406
1452,ENSG00000118785,SPP1,SPP1,329
1453,ENSG00000134548,SPX,SPX,1128
1454,ENSG00000145545,SRD5A1,SRD5A1,431
1455,ENSG00000277893,SRD5A2,SRD5A2,581
