Gene;OverallAverageExpression;case_avg;control_avg
MAN1C1;0,014661606271122538;1,26459228025470e-02;1,63533958973213e-02
AL031280.1;0,012285539456275876;5,49202096928393e-03;1,79874288058992e-02
SELENON;0,059386933777205289;7,76303735543418e-02;4,40749750087222e-02
AL020996.1;0,005321103678336348;4,50049912627141e-03;6,00984786364043e-03
MTFR1L;0,060528575369587730;6,20166394410697e-02;5,92796236375822e-02
AUNIP;0,006747659744422236;7,93950047887050e-03;5,74733215229010e-03
PAQR7;0,017959522692957180;2,13565140514062e-02;1,51083832010149e-02
STMN1;0,268941380282146036;2,48862802184258e-01;2,85793594761453e-01
PAFAH2;0,029380968176631238;3,44495544949726e-02;2,51268370659947e-02
PDIK1L;0,032665408839110538;3,16890013195274e-02;3,34849205026857e-02
FAM110D;0,001978865537526426;1,40703654839035e-03;2,45880912334341e-03
ZNF593;0,179734792898342099;2,23719223220506e-01;1,42818082465684e-01
CNKSR1;0,002856908893031864;3,15576284674086e-03;2,60607684201014e-03
CEP85;0,022354730575445306;2,75125398923253e-02;1,80257134295263e-02
SH3BGRL3;2,399482201822323635;2,35845553547804e+00;2,43391642207608e+00
UBXN11;0,180738512526896794;2,34776078236782e-01;1,35384073440473e-01
CD52;1,265577238550634309;8,86348292763548e-01;1,58386907674797e+00
ZNF683;0,025583435259171779;2,57001184333925e-02;2,54855015375453e-02
DHDDS;0,059878763947661839;5,87896722631057e-02;6,07928529118451e-02
HMGN2;1,207928748040420830;1,18464407400931e+00;1,22747188097245e+00
RPS6KA1;0,149344707112157388;1,45255827194642e-01;1,52776557764836e-01
ARID1A;0,360420798720779756;3,57474682921676e-01;3,62893512430154e-01
PIGV;0,019104181292719027;1,91964533373715e-02;1,90267361529613e-02
ZDHHC18;0,070842028035617136;8,70742481540520e-02;5,72181123590402e-02
GPN2;0,042222104466167268;4,71853587876281e-02;3,80563798848333e-02
GPATCH3;0,040098002487550334;4,40151243333769e-02;3,68103106417621e-02
NUDC;0,344504036969973060;3,62080658037684e-01;3,29751747907944e-01
TRNP1;0,005713617856759225;6,97873196557680e-03;4,65179095852712e-03
SLC9A1;0,038773385023164630;4,40958865046006e-02;3,43061395790749e-02
WDTC1;0,068914419405216532;7,18800165274959e-02;6,64253547652694e-02
TMEM222;0,063280651489775505;7,35246461286472e-02;5,46827321581622e-02
SYTL1;0,169862782411948854;1,44792691367269e-01;1,90904439308218e-01
MAP3K6;0,015668362197678875;1,85787178270250e-02;1,32256624687594e-02
GPR3;0,000944655668412697;1,48535116800880e-03;4,90842829537010e-04
WASF2;0,581784246718292875;4,71691683048361e-01;6,74186382292706e-01
AHDC1;0,032723012592089651;3,85630359453861e-02;2,78214042394411e-02
FGR;0,414758797247135436;4,46440214251274e-01;3,88168167584058e-01
IFI6;0,582165115299867142;1,01483525117623e+00;2,19019383912324e-01
FAM76A;0,099816019852683929;9,85288681867414e-02;1,00896343162239e-01
STX12;0,161438791366019713;1,78379077749507e-01;1,47220586367458e-01
AL020997.2;0,003374000252663588;3,61104414693949e-03;3,17504619685981e-03
