,ID,community,CPDB,NicheNet,CellChat,community_curated,NicheNet_curated
1683,EDN1_PROKR1,False,False,True,False,False,False
1684,GIP_GPR83,False,False,True,False,False,False
1685,PPY_APLNR,False,False,True,False,False,False
1686,CXCL11_GRM2,False,False,True,False,False,False
1687,NOTUM_WNT3A,True,False,False,False,False,False
1688,CCL25_GPER1,False,False,True,False,False,False
1689,ICAM2_ITGAM,True,False,True,False,False,True
1690,CXCL9_GPR18,False,False,True,False,False,False
1691,RSPO3_LGR4,True,True,True,False,True,True
1692,GSTP1_VCAM1,False,False,True,False,False,False
1693,ITGB1_JAM2,False,False,True,False,False,False
1694,NPFF_ADRA1D,False,False,True,False,False,False
1695,SEMA4D_PLXNB2,True,True,True,True,True,True
1696,CCK_LPAR1,False,False,True,False,False,False
1697,INHBA_NODAL,True,False,False,False,False,False
1698,FGFR2_NECTIN1,False,True,False,False,False,False
1699,EDN1_TACR2,False,False,True,False,False,False
1700,QRFP_HRH1,False,False,True,False,False,False
1701,PNOC_TAS2R7,False,False,True,False,False,False
1702,WNT3_FZD6_LRP6,False,False,False,True,False,False
1703,CDH2_PTPRM,False,False,True,False,False,False
1704,FGF3_FGFR2,True,True,True,True,True,True
1705,LEFTY2_ACVR1B,True,False,True,False,True,False
1706,ANXA1_TACR2,False,False,True,False,False,False
1707,EDN3_ADRA1B,False,False,True,False,False,False
1708,CCL27_ACKR4,False,False,True,False,False,False
1709,PIK3CB_CSF2RA,False,False,True,False,False,False
1710,PIK3CD_SLC16A4,True,False,False,False,False,False
1711,C3_CXCR5,False,False,True,False,False,False
1712,THBS1_ITGA3_ITGB1,False,False,False,True,False,False
1713,INSL5_HRH3,False,False,True,False,False,False
1714,AGRN_ITGAV,False,False,True,False,False,False
1715,BDNF_DDR1,True,False,False,False,False,False
1716,FST_BMPR1B,True,False,False,False,True,False
1717,CXCL3_GRM8,False,False,True,False,False,False
1718,JAM2_PARD3,True,False,False,False,False,False
1719,IFNA10_IFNAR1,True,True,True,False,True,True
1720,SAA1_P2RY12,False,False,True,False,False,False
1721,SAA1_HRH1,False,False,True,False,False,False
1722,CORT_BDKRB2,False,False,True,False,False,False
1723,KNG1_SSTR2,False,False,True,False,False,False
1724,CCL28_SSTR3,False,False,True,False,False,False
1725,NPY_TAS2R14,False,False,True,False,False,False
1726,CCL5_NPY2R,False,False,True,False,False,False
1727,COL9A1_ITGB1,True,True,False,False,True,False
1728,WNT8B_FZD9_LRP5,False,False,False,True,False,False
1729,APLN_GRM2,False,False,True,False,False,False
1730,OCLN_OCLN,False,False,True,True,False,True
1731,POMC_LPAR2,False,False,True,False,False,False
1732,THBS3_ITGA3_ITGB1,False,False,False,True,False,False
1733,NXPH3_NRXN2,True,False,True,False,True,True
1734,SST_GALR2,False,False,True,False,False,False
1735,CCL19_GPR18,False,False,True,False,False,False
1736,PTHLH_GLP2R,False,False,True,False,False,False
1737,AMELX_LAMP2,True,False,False,False,True,False
1738,NRXN1_LRRTM4,False,False,False,True,False,False
1739,GHRL_LPAR1,False,False,True,False,False,False
1740,CDH1_CDH2,True,False,True,False,True,False
1741,CCL28_S1PR5,False,False,True,False,False,False
1742,EFNB3_EPHB1,True,True,True,True,True,True
1743,ADM2_CALCRL,True,True,True,False,True,True
1744,LEFTY2_BMP15,True,False,False,False,False,False
1745,CD274_NCR3,True,False,False,False,False,False
1746,CEACAM5_CEACAM6,False,True,False,True,False,False
1747,INSL5_CNR2,False,False,True,False,False,False
1748,WNT2_PORCN,True,False,False,False,False,False
1749,GCG_LHCGR,False,False,True,False,False,False
1750,CCL27_TAS2R16,False,False,True,False,False,False
1751,NPW_GALR1,False,False,True,False,False,False
1752,PNOC_CCR3,False,False,True,False,False,False
1753,WNT1_FZD5_LRP6,False,False,False,True,False,False
1754,APOC3_LDLR,True,False,False,False,True,False
1755,PYY_CCR2,False,False,True,False,False,False
1756,ICOSLG_CTLA4,True,False,True,False,True,True
1757,SIGLEC15_LRRC4C,True,False,False,False,False,False
1758,WNT6_FZD10_LRP5,False,False,False,True,False,False
1759,CXCL6_TAS2R10,False,False,True,False,False,False
1760,PIK3CB_KLRK1,False,False,True,False,False,False
1761,CD63_KIT,True,False,False,False,False,False
1762,NECTIN1_FGFR2,False,True,False,False,False,False
1763,PECAM1_ACKR3,False,False,True,False,False,False
1764,RETN_GPR25,True,True,False,False,True,False
1765,DIO3_TG,False,True,False,False,False,False
1766,KNG1_HTR2B,False,False,True,False,False,False
1767,PPBP_SSTR1,False,False,True,False,False,False
1768,EDN3_PROKR1,False,False,True,False,False,False
1769,WNT3A_FZD4_LRP6,False,False,False,True,False,False
1770,GREM2_GDF5,True,False,False,False,False,False
1771,NTN3_ROBO2,False,False,True,False,False,False
1772,CXCL2_FPR1,False,False,True,False,False,False
1773,SFRP1_FZD2,True,False,False,False,True,False
1774,LAMB3_ITGA2_ITGB1,False,False,False,True,False,False
1775,SERPING1_SELP,True,False,True,False,True,False
