	gene_symbol	inDB	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
12756	UBE2G2	False	False	False	63.0973029499999	3	True	False	0.1255136579147124	0.8418664826915309	0.07151007
12757	UBE2H	False	False	False	49.7490050379797	3	True	False	0.112148682557049	0.6443638209073462	-0.41042387
12758	UBE2I	False	False	False	293.783424545555	3	True	False	0.4146014058757066	0.706572620742448	-0.7569529
12759	UBE2J1	False	False	False	319.777021928256	3	True	False	0.6937265389246969	1.184157279958549	-0.31121284
12760	UBE2J2	False	False	False	96.421142244772	3	True	False	0.17175079681425454	0.656892121033739	-0.3798531
12761	UBE2K	False	False	False	113.214805424986	3	True	False	0.19716993359900659	0.7129672068602075	-0.24302208
12762	UBE2L3	False	False	False	394.687060049884	3	True	False	0.5287492068637967	0.8513063916769525	-0.5084359
12763	UBE2L6	False	False	False	199.408175421868	3	True	False	0.24281559751200457	0.6970872881605183	-0.2817713
12764	UBE2M	False	False	False	54.6225246862724	3	True	False	0.11693972637456244	0.6145547785656228	-0.4831621
12765	UBE2N	False	False	False	209.653789503498	3	True	False	0.31710968885138835	0.7058473824127774	-0.75819814
12766	UBE2O	False	False	False	13.8446692436345	3	True	False	0.03155515780249655	0.6379711855675698	-0.4260228
12767	UBE2Q1	False	False	False	42.5161243557336	3	True	False	0.08157213527063664	0.5657950979070726	-0.6021425
12768	UBE2Q2	False	False	False	51.0353320050334	3	True	False	0.0859601192199244	0.5462867623684898	-0.6497455
12769	UBE2R2	False	False	False	86.2426177259718	3	True	False	0.1330986855467291	0.6141792969987513	-0.48407832
12770	UBE2S	False	False	False	160.348190085168	3	True	False	0.2664493023741461	0.8245857331873057	0.029342636
12771	UBE2T	False	False	False	42.3740599633085	3	True	True	0.0875001807553347	1.1839720836535426	0.9062953
12772	UBE2V1	False	False	False	5.37872498423998	3	True	False	0.010902603151621327	0.8227778521046728	0.024931155
12773	UBE2V2	False	False	False	130.781831156545	3	True	False	0.20290446361808387	0.8713182103859751	0.14337638
12774	UBE2W	False	False	False	36.0616695452492	3	True	False	0.06225332082563614	0.671621877203459	-0.34391043
12775	UBE2Z	False	False	False	57.1348677830829	3	True	False	0.10138515722678632	0.6423969404850188	-0.41522336
12776	UBE3A	False	False	False	65.6559407032567	3	True	False	0.11848576195909621	0.7056299748950239	-0.26092595
12777	UBE3B	False	False	False	24.5156307554333	3	True	False	0.05280205077932503	0.6709240837212535	-0.34561315
12778	UBE3C	False	False	False	31.1533713682552	3	True	False	0.0636698053631665	0.7013905983502411	-0.27127063
12779	UBE3D	False	False	False	9.04831392108568	3	True	False	0.019056259581147966	0.7284977519972899	-0.20512539
12780	UBE4A	False	False	False	30.8689698165532	3	True	False	0.05913667109419255	0.586056773378756	-0.5527012
12781	UBE4B	False	False	False	25.3230690067045	3	True	False	0.05339919256934522	0.7070685278053813	-0.25741568
12782	UBFD1	False	False	False	19.2268093856294	3	True	False	0.03797058804626573	0.5785969620500486	-0.5709042
12783	UBIAD1	False	False	False	25.8397800575008	3	True	False	0.05098786004291062	0.6150621242968972	-0.48192412
12784	UBL3	False	False	False	66.1070340163241	3	True	False	0.12118933964200441	0.6322631033720757	-0.43995133
12785	UBL4A	False	False	False	38.8763985475477	3	True	False	0.06774492855574514	0.6862487361206832	-0.30821887
12786	UBL5	False	False	False	996.212968630271	3	True	False	1.1233455873994864	1.012674745006228	-0.9580645
12787	UBL7	False	False	False	94.3048234233017	3	True	False	0.17711023624321262	0.664938270194088	-0.36021936
12788	UBL7-AS1	False	False	False	13.3505778057087	3	True	False	0.027672701381244596	0.8573542284780875	0.10930232
12789	UBLCP1	False	False	False	29.3704255342742	3	True	False	0.050490039124435754	0.5157767946559525	-0.7241941
12790	UBN1	False	False	False	53.3948246712081	3	True	False	0.09349492221723553	0.6823223470684241	-0.3177998
12791	UBN2	False	False	False	19.2826452795018	3	True	False	0.04329173712130828	0.7264187351521488	-0.21019849
12792	UBOX5	False	False	False	8.59214709119673	3	True	False	0.017534665818980773	0.7608611427611762	-0.12615423
12793	UBP1	False	False	False	29.6328075311742	3	True	False	0.05742780734240331	0.6048100546312432	-0.5069406
12794	UBQLN1	False	False	False	69.7003625197571	3	True	False	0.12352510793713391	0.6038758754008767	-0.5092201
12795	UBQLN2	False	False	False	40.4531365060244	3	True	False	0.07476005601528153	0.6171316829077367	-0.47687408
12796	UBQLN4	False	False	False	20.570520696384	3	True	False	0.0441440768955162	0.7217454510855695	-0.22160195
12797	UBR1	False	False	False	18.5996689727684	3	True	False	0.038631780711702604	0.6995105253669217	-0.27585825
12798	UBR2	False	False	False	33.1692995729774	3	True	False	0.07504062646106147	0.7953228168717571	-0.042062946
12799	UBR3	False	False	False	17.1155817578266	3	True	False	0.03536523065650892	0.6014132743469958	-0.51522917
12800	UBR4	False	False	False	17.1571986015694	3	True	False	0.03183525973872647	0.686181419039334	-0.30838314
12801	UBR5	False	False	False	32.5508365846161	3	True	False	0.06440434135887972	0.6665778909939138	-0.35621846
12802	UBR7	False	False	False	21.9437297297722	3	True	False	0.0394663563896014	0.6575242396158545	-0.37831065
12803	UBTD1	False	False	False	12.9290584249598	3	True	False	0.013762724900706734	0.49317214511971463	-0.7793526
12804	UBTD2	False	False	False	13.5230203074153	3	True	False	0.02789029245594595	0.6417855249787154	-0.4167153
12805	UBTF	False	False	False	55.7131426651508	3	True	False	0.10946840176289248	0.7075047672242764	-0.2563512
12806	UBXN1	False	False	False	440.279292678441	3	True	False	0.5706749253219061	0.7803560050886027	-0.6302622
12807	UBXN10	False	False	False	5.64626736815334	3	True	False	0.00931355170501635	0.6284155274395724	-0.44933996
12808	UBXN11	False	False	False	31.7027957980388	3	True	False	0.04783022915538936	0.7889390026348514	-0.05764034
12809	UBXN2A	False	False	False	33.1291828420625	3	True	False	0.06494646943102807	0.7441075798928408	-0.16703525
