cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Mono,ZFAS1,0,0.28846612391577753,0.929,0.768,0
Mono,CEBPB,0,0.42074411078983975,0.944,0.761,0
Mono,IFNGR2,0,0.3950165018190879,0.78,0.47,0
Mono,ETS2,0,0.4241266765003121,0.69,0.343,0
Mono,HMGN1,0,0.3788479022822042,0.763,0.454,0
Mono,MX2,0,0.4281311130576296,0.534,0.173,0
Mono,MX1,0,0.5577194883855086,0.538,0.103,0
Mono,PIM3,0,0.48926829732878485,0.635,0.248,0
Mono,SCO2,0,0.5182027674912665,0.737,0.391,0
Mono,KLHDC7B,0,0.4084912006177998,0.338,0.014,0
Mono,CYBB,0,-0.37476841980343023,0.691,0.779,0
Mono,MIR222HG,0,0.45073497802299417,0.414,0.063,0
Mono,VSIG4,0,0.44461814779104525,0.272,0.01,0
Mono,XIST,0,-0.4961827239082161,0.029,0.323,0
Mono,TSC22D3,0,0.5179908806342175,0.877,0.651,0
Mono,DDX3Y,0,0.29861291197143613,0.458,0.159,0
Mono,FDFT1,1.4624302803928897e-307,0.2870019960089173,0.41,0.144,2.306252552179587e-303
Mono,CDKN1B,3.977282323827196e-307,0.2920936694822469,0.429,0.154,6.272174224675488e-303
Mono,IL1B,1.821929494211086e-306,0.4725421752666098,0.506,0.235,2.8731828123708826e-302
Mono,GLUL,4.683168672535438e-305,0.3438938000921262,0.838,0.612,7.385356996588387e-301
Mono,UBALD2,2.521783083262245e-303,0.32913616909976573,0.649,0.333,3.97685192230456e-299
Mono,CHMP5,8.101296659920184e-302,0.29280549131512573,0.444,0.168,1.277574483269413e-297
Mono,TESC,1.6463305917788135e-301,-0.35785123495175186,0.084,0.303,2.5962633432351888e-297
Mono,HSBP1,5.494802203472663e-301,0.3507357329025369,0.75,0.477,8.66530307487639e-297
Mono,CD53,9.291074563765491e-300,0.3318525300858355,0.761,0.478,1.465202458705818e-295
Mono,NKG7,1.1031667750243683e-297,0.28031377915534383,0.313,0.092,1.7396940042134286e-293
Mono,PARP9,5.970127084671025e-297,0.25364048755738094,0.352,0.107,9.414890412526207e-293
Mono,CXCL8,8.973637802357858e-297,0.3976716830586122,0.679,0.345,1.4151426814318342e-292
Mono,PPP1R15B,1.0944064884488844e-296,0.3053457315789994,0.449,0.177,1.7258790322838907e-292
Mono,APOL6,1.6908913868775896e-296,0.28578687291788346,0.442,0.165,2.666535717105959e-292
Mono,LEPROTL1,1.2300167010386981e-294,0.3348408494576677,0.574,0.286,1.9397363375380268e-290
Mono,ARRDC3,3.881366437913238e-294,0.34185019745158396,0.627,0.329,6.120914872589176e-290
Mono,NUCB2,5.6509724977170994e-294,0.2772921141831557,0.382,0.135,8.911583628899866e-290
Mono,EAF2,2.0599850288837037e-291,0.252023172596762,0.332,0.099,3.248596390549601e-287
Mono,ORAI3,5.553784789276391e-291,0.25521264461884385,0.351,0.109,8.758318612688868e-287
Mono,IFITM2,7.319253769141452e-291,0.3447285729433207,0.825,0.668,1.154246319393607e-286
Mono,THBD,1.632845053402591e-289,0.29559394993532534,0.285,0.076,2.574996649215886e-285
Mono,RGS1,1.7788694986950802e-289,0.2564612078374736,0.261,0.062,2.8052771994421414e-285
Mono,PRDX5,3.69038992434961e-289,0.3226418606004544,0.759,0.477,5.819744910699335e-285
Mono,CTSD,2.182039363985439e-287,0.26858541765544475,0.921,0.759,3.441076077005037e-283
Mono,FCGRT,3.4147226874842995e-287,-0.2674677982883047,0.712,0.755,5.38501767816274e-283
Mono,HNRNPA1,2.8472013746188424e-286,-0.26230970932782394,0.733,0.751,4.4900365677739144e-282
Mono,IRF8,5.106244818987469e-286,0.30071730048612055,0.484,0.205,8.05254807954324e-282
Mono,GZF1,5.8884898398282805e-285,0.2701704323208396,0.353,0.118,9.286148477409198e-281
Mono,ARF6,6.6889433430968205e-285,0.33320236980664264,0.721,0.423,1.0548463652063686e-280
Mono,DDX60L,2.9642245602980964e-283,0.2636226279075945,0.395,0.138,4.674582131590098e-279
Mono,ECH1,4.60522889965041e-281,0.2900628851009165,0.503,0.215,7.262445974748696e-277
Mono,IL1R2,6.885851588282727e-281,0.28718925852481625,0.192,0.029,1.085898795472186e-276
Mono,JAML,3.216506049075316e-277,-0.41992170558265945,0.297,0.489,5.072430039391773e-273
Mono,CXCL2,9.56149855823484e-277,0.3453752979258693,0.328,0.107,1.5078483226336343e-272
Mono,AC007952.4,2.12165574928328e-275,-0.41730120502530943,0.362,0.538,3.3458511166197327e-271
Mono,C1orf162,4.456715180579734e-275,0.2893429094572366,0.825,0.678,7.02823983977424e-271
Mono,P2RX4,1.6597895252731827e-274,0.2651504467431049,0.384,0.137,2.6174880813558092e-270
Mono,TUBA1A,1.0611251540703994e-272,-0.3851248563328179,0.456,0.62,1.6733943679690198e-268
Mono,HLX,1.8763857573225638e-272,0.26063107583534023,0.338,0.111,2.9590603392976833e-268
